titles,links,authors,dois
"Quantification and characterization of household waste in Dumai Timur District, Dumai City, Riau, Indonesia as a measure towards circular economy.",https://doi.org/10.1088/1755-1315/1094/1/012001,"F Hidayat, DN Martono… - IOP Conference Series …, 2022 - iopscience.iop.org",https://doi.org/10.1088/1755-1315/1094/1/012001
[PDF][PDF] A global redesign? Shaping the circular econom,https://www.academia.edu/download/32547802/A_global_redesign_-_shaping_the_circular_economy.pdf,F Preston - 2012 - academia.edu,
[HTML][HTML] Public awareness of circular economy in southern Poland: Case of the Malopolska regio,https://www.sciencedirect.com/science/article/pii/S0959652618317505,"M Smol, A Avdiushchenko, J Kulczycka… - Journal of Cleaner …, 2018 - Elsevier",
"[HTML][HTML] The circular economy futures in the making: Transformativity and object ontologies in food waste practices in Finnish households, supermarkets and biogas ",https://www.sciencedirect.com/science/article/pii/S0016328723001453,"T Lehtokunnas - Futures, 2023 - Elsevier",
Responsibility and innovation for low waste and circular economy transitions: what roles for households?,https://www.tandfonline.com/doi/abs/10.1080/19460171.2023.2281603,"R Lane, A Kronsell, D Reynolds, R Raven… - Critical Policy …, 2023 - Taylor & Francis",
[HTML][HTML] The circular economy and the optimal recycling rate: A macroeconomic approac,https://www.sciencedirect.com/science/article/pii/S0921800922001665,"A Bongers, P Casas - Ecological economics, 2022 - Elsevier",
"Solid waste management in Ho Chi Minh City, Vietnam: moving towards a circular economy?",https://doi.org/10.3390/su9020286,"P Schneider, LH Anh, J Wagner, J Reichenbach… - Sustainability, 2017 - mdpi.com",https://doi.org/10.3390/su9020286
The circular economy in China,"https://doi.org/10.1007/s10163-007-0183-z"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10163-007-0183-z"",""Journal","R Yong - Journal of material cycles and waste management, 2007 - Springer","https://doi.org/10.1007/s10163-007-0183-z"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10163-007-0183-z"",""Journal"
[PDF][PDF] Households as an important part of the circular econom,https://doi.org/10.5276/JSWTM.2009.209,"J VIDOVÁ - WASTE, 2019 - wasteforum.cz",https://doi.org/10.5276/JSWTM.2009.209
Circular economy of waste in agrifood supply chain: A review,https://onlinelibrary.wiley.com/doi/abs/10.1002/tie.22274,"O Ouro‐Salim, P Guarnieri - 2022 - Wiley Online Library",
[HTML][HTML] Food loss and waste reduction as an integral part of a circular econom,https://doi.org/10.3389/fenvs.2017.00021,"MV Vilariño, C Franco, C Quarrington - Frontiers in environmental …, 2017 - frontiersin.org",https://doi.org/10.3389/fenvs.2017.00021
[HTML][HTML] Moving towards a circular economy model through I4. 0 to accomplish the SDG,https://www.sciencedirect.com/science/article/pii/S2666784322000389,"R Ajwani-Ramchandani, S Bhattacharya - Cleaner and Responsible …, 2022 - Elsevier",
[BOOK][B] Towards a circular economy: waste management in the EU; stud,https://doi.org/10.2861/978568,"P Lee, E Sims, O Bertham, H Symington, N Bell… - 2017 - epub.wupperinst.org",https://doi.org/10.2861/978568
[HTML][HTML] Exploring Greek Citizens' Circular Thinking on Food Waste Recycling in a Circular Economy—A Survey-Based Investigatio,https://doi.org/10.3390/en15072584,"K Papamonioudis, A Zabaniotou - Energies, 2022 - mdpi.com",https://doi.org/10.3390/en15072584
The circular economy and organic fraction of municipal solid waste recycling strategies,https://doi.org/10.3390/en13174366,"A Rolewicz-Kalińska, K Lelicińska-Serafin… - Energies, 2020 - mdpi.com",https://doi.org/10.3390/en13174366
[BOOK][B] The re-use atlas: a designer's guide towards the circular econom,https://books.google.com/books?hl=en&lr=&id=v5alDwAAQBAJ&oi=fnd&pg=PP10&dq=circular+economy+waste+household&ots=19ijx52ucd&sig=QnibQ8uDy_Mos5jkkK_rDjlB70Y,D Baker-Brown - 2019 - books.google.com,
Ports and the circular economy,https://www.sciencedirect.com/science/article/pii/B9780128140543000050,"P de Langen, H Sornn-Friese - Green ports, 2019 - Elsevier",
[HTML][HTML] Barriers to compulsory waste sorting for a circular economy in Chin,https://www.sciencedirect.com/science/article/pii/S0301479723009684,"A Zhang, S Xie, Y Gong, C Li, Y Liu - Journal of Environmental …, 2023 - Elsevier",
[HTML][HTML] Behavioral change for the circular economy: A review with focus on electronic waste management in the E,https://www.sciencedirect.com/science/article/pii/S2590289X20300062,"K Parajuly, C Fitzpatrick, O Muldoon, R Kuehr - Resources, Conservation & …, 2020 - Elsevier",
Circular economy in Vietnam,"https://doi.org/10.1007/978-981-15-1052-6_22"",""Page"":""chapter"",""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-978-981-15-1052-6_22"",""Keywords"":""Vietnam","HT Hai, ND Quang, NT Thang, NH Nam - Circular economy: Global …, 2020 - Springer","https://doi.org/10.1007/978-981-15-1052-6_22"",""Page"":""chapter"",""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-978-981-15-1052-6_22"",""Keywords"":""Vietnam"
[HTML][HTML] A review of waste prevention through 3R under the concept of circular economy in Chin,"https://doi.org/10.1007/s10163-017-0606-4"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10163-017-0606-4"",""Journal","L Liu, Y Liang, Q Song, J Li - Journal of Material Cycles and Waste …, 2017 - Springer","https://doi.org/10.1007/s10163-017-0606-4"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10163-017-0606-4"",""Journal"
[HTML][HTML] A critical review on sustainable hazardous waste management strategies: a step towards a circular econom,"https://doi.org/10.1007/s11356-023-29511-8"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s11356-023-29511-8"",""Journal","A Kumar, AK Thakur, GK Gaurav, JJ Klemeš… - … Science and Pollution …, 2023 - Springer","https://doi.org/10.1007/s11356-023-29511-8"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s11356-023-29511-8"",""Journal"
Solid waste and the circular economy: a global analysis of waste treatment and waste footprints,https://onlinelibrary.wiley.com/doi/abs/10.1111/jiec.12562,"A Tisserant, S Pauliuk, S Merciai… - Journal of Industrial …, 2017 - Wiley Online Library",
[HTML][HTML] Towards a circular economy for packaging waste by using new technologies: The case of large multinationals in emerging economie,https://www.sciencedirect.com/science/article/pii/S0959652620351830,"R Ajwani-Ramchandani, S Figueira… - Journal of Cleaner …, 2021 - Elsevier",
[HTML][HTML] A selection bias approach in the circular economy context: The case of organic municipal solid waste in Ital,https://www.sciencedirect.com/science/article/pii/S0959652622008976,"M Mazzanti, M Mazzarano, E Zecca - Journal of Cleaner Production, 2022 - Elsevier",
[HTML][HTML] Status of household solid waste in Bengaluru and its periphery: synergies and disjunctions between waste management practices and circular econom,"https://doi.org/10.1007/s10163-023-01826-1"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10163-023-01826-1"",""Journal","M Goswami, P Maurya, S Nautiyal, S Banerjee… - … Cycles and Waste …, 2023 - Springer","https://doi.org/10.1007/s10163-023-01826-1"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10163-023-01826-1"",""Journal"
[HTML][HTML] The first mile problem in the circular economy supply chains–Collecting recyclable textiles from consumer,https://www.sciencedirect.com/science/article/pii/S0956053X22000137,"L Jäämaa, R Kaipia - Waste Management, 2022 - Elsevier",
[HTML][HTML] Temporal assessment of municipal solid waste management in Nigeria: Prospects for circular economy adoptio,https://doi.org/10.1515/reveh-2020-0084,"OB Ezeudu, JC Agunwamba… - Reviews on …, 2021 - degruyter.com",https://doi.org/10.1515/reveh-2020-0084
The management of municipal solid waste in compliance with circular economy criteria: the case of Russia,https://www.ceeol.com/search/article-detail?id=908497,"H Wiesmeth, NV Starodubets - … региона. 2020. Том 16, выпуск 3, 2020 - ceeol.com",
[HTML][HTML] Consumption Work in the circular economy: A research agenda,https://www.sciencedirect.com/science/article/pii/S0959652621031607,"K Hobson, H Holmes, D Welch, K Wheeler… - Journal of Cleaner …, 2021 - Elsevier",
[HTML][HTML] Circular economy model framework in the European water and wastewater secto,"https://doi.org/10.1007/s10163-019-00960-z"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10163-019-00960-z"",""Journal","M Smol, C Adam, M Preisner - Journal of Material Cycles and Waste …, 2020 - Springer","https://doi.org/10.1007/s10163-019-00960-z"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10163-019-00960-z"",""Journal"
[PDF][PDF] Circular economy for sustainable development in Indi,https://www.researchgate.net/profile/Saravan-Krishnamurthy/publication/312125734_Circular_Economy_for_Sustainable_Development_in_India/links/5870c6ab08ae8fce491e1d95/Circular-Economy-for-Sustainable-Development-in-India.pdf,"NR Yaduvanshi, R Myana… - Indian Journal of …, 2016 - researchgate.net",
"Design, materials, and extrusion-based additive manufacturing in circular economy contexts: From waste to new products",https://doi.org/10.3390/su13137269,"A Romani, V Rognoli, M Levi - Sustainability, 2021 - mdpi.com",https://doi.org/10.3390/su13137269
Packaging plastic waste management for a circular economy and identifying a better waste collection system using analytical hierarchy process (AHP),https://www.sciencedirect.com/science/article/pii/S2212827121001323,"J Balwada, S Samaiya, RP Mishra - Procedia CIRP, 2021 - Elsevier",
[HTML][HTML] Assessing the potential of plastic waste management in the circular economy: a longitudinal case study in an emerging econom,"https://doi.org/10.1007/s10479-023-05386-3"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10479-023-05386-3"",""Journal","SF Wamba, M Fotso, E Mosconi, J Chai - Annals of Operations Research, 2023 - Springer","https://doi.org/10.1007/s10479-023-05386-3"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10479-023-05386-3"",""Journal"
"[HTML][HTML] Plastic pollution, waste management issues, and circular economy opportunities in rural communitie",https://doi.org/10.3390/su14010020,"FC Mihai, S Gündoğdu, LA Markley, A Olivelli, FR Khan… - Sustainability, 2021 - mdpi.com",https://doi.org/10.3390/su14010020
"[HTML][HTML] Mapping healthcare waste management research: Past evolution, current challenges, and future perspectives towards a circular economy transitio",https://www.sciencedirect.com/science/article/pii/S0304389421016897,"M Ranjbari, ZS Esfandabadi, T Shevchenko… - Journal of hazardous …, 2022 - Elsevier",
"Towards circular economy in e-waste management in India: Issues, challenges, and solutions",https://www.sciencedirect.com/science/article/pii/B9780128216644000030,"B Debnath, A Das, A Das - Circular Economy and Sustainability, 2022 - Elsevier",
The circular economy of food waste: Transforming waste to energy through 'make-up'work,https://journals.sagepub.com/doi/abs/10.1177/13591835211002555,"T Holmberg, M Ideland - Journal of material culture, 2021 - journals.sagepub.com",
Antecedents towards social circular consumption of food wastes in emerging economies: Transition towards food circular economy,https://onlinelibrary.wiley.com/doi/abs/10.1002/bsd2.201,"S Kumari, N Bharti, S Rahaman - Business Strategy & …, 2022 - Wiley Online Library",
"The circular economy of waste: recovery, incineration and urban reuse",https://www.tandfonline.com/doi/abs/10.1080/09640568.2020.1857226,"F Savini - Journal of Environmental Planning and Management, 2021 - Taylor & Francis",
"Towards a circular economy: A case study of waste conversion into housing units in Cotonou, Benin",https://doi.org/10.3390/urbansci2040118,"Z Allam, DS Jones - Urban Science, 2018 - mdpi.com",https://doi.org/10.3390/urbansci2040118
Assessing the Outcomes of Circular Economy and Waste Management Partnerships between Indonesia and Denmark,https://doi.org/10.34306/itsdi.v5i1.609,"E Dollan, BDK Ramadhan - IAIC Transactions on Sustainable …, 2023 - aptikom-journal.id",https://doi.org/10.34306/itsdi.v5i1.609
"[PDF][PDF] Effective solid waste management in the circular economy: The case study of Lagos state, Nigeri",http://www.procedia-esem.eu/pdf/issues/2017/no3/20_Oyelola_17.pdf,"O Oyelola, I Ajiboshin, J Okewole - … Science, Engineering and …, 2017 - procedia-esem.eu",
[HTML][HTML] Co-production in solid waste management: analyses of emerging cases and implications for circular economy in Nigeri,"https://doi.org/10.1007/s11356-021-14471-8"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s11356-021-14471-8"",""Journal","OB Ezeudu, TC Oraelosi, JC Agunwamba… - … Science and Pollution …, 2021 - Springer","https://doi.org/10.1007/s11356-021-14471-8"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s11356-021-14471-8"",""Journal"
[HTML][HTML] Waste treatment company decision-making in a complex system of markets influenced by the circular econom,https://www.sciencedirect.com/science/article/pii/S095965262103849X,"S Snellinx, J Van Meensel, S Farahbakhsh… - Journal of Cleaner …, 2021 - Elsevier",
